1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
6076.0;3456.0;2930.0;2859.0;3174.0;2652.0;3419.0;2839.0;2840.0;2804.0;2565.0;2395.0;2768.0;2666.0;2891.0;2757.0;2920.0;2649.0;3049.0
6596.0;3487.0;3108.0;2887.0;3244.0;2713.0;3483.0;2882.0;3020.0;2837.0;2810.0;2452.0;2833.0;2724.0;2924.0;2836.0;2945.0;2696.0;3149.0
6719.0;3528.0;3201.0;2985.0;3323.0;2747.0;3523.0;2967.0;3071.0;2894.0;2831.0;2472.0;2864.0;2762.0;3046.0;2899.0;3033.0;2881.0;3292.0
6894.0;3720.0;3383.0;3063.0;3425.0;2804.0;3583.0;3021.0;3110.0;2920.0;3034.0;2514.0;2956.0;2789.0;3269.0;2937.0;3125.0;3175.0;3404.0
7037.0;3746.0;3437.0;3113.0;3590.0;2961.0;3646.0;3284.0;3168.0;3015.0;3073.0;2560.0;3095.0;2879.0;3382.0;2965.0;3171.0;3449.0;3448.0
7074.0;3779.0;3500.0;3165.0;3728.0;3022.0;3669.0;3312.0;3355.0;3071.0;3104.0;2699.0;3137.0;2936.0;3422.0;2987.0;3195.0;3561.0;3540.0
7641.0;3807.0;3557.0;3222.0;3802.0;3071.0;3743.0;3348.0;3420.0;3167.0;3170.0;2773.0;3169.0;3103.0;3514.0;3025.0;3278.0;3638.0;3595.0
7674.0;3886.0;3606.0;3242.0;3825.0;3098.0;3792.0;3433.0;3461.0;3187.0;3238.0;2826.0;3204.0;3151.0;3569.0;3155.0;3340.0;3718.0;3618.0
7932.0;3979.0;3674.0;3279.0;3935.0;3122.0;3916.0;3588.0;3523.0;3252.0;3422.0;2882.0;3344.0;3231.0;3591.0;3271.0;3394.0;3832.0;3723.0
7990.0;4015.0;3730.0;3306.0;4021.0;3154.0;3946.0;3633.0;3565.0;3325.0;3533.0;2908.0;3377.0;3252.0;3665.0;3353.0;3506.0;3886.0;3762.0
8085.0;4084.0;3810.0;3343.0;4134.0;3203.0;4076.0;3728.0;3607.0;3356.0;3571.0;2978.0;3508.0;3290.0;3766.0;3396.0;3688.0;3912.0;3823.0
8108.0;4145.0;3846.0;3400.0;4231.0;3252.0;4261.0;3767.0;3637.0;3414.0;3680.0;3098.0;3549.0;3327.0;3793.0;3446.0;3739.0;3953.0;3863.0
8382.0;4321.0;3875.0;3424.0;4258.0;3325.0;4301.0;3838.0;3744.0;3440.0;3728.0;3341.0;3703.0;3365.0;4064.0;3529.0;3799.0;4049.0;3891.0
8436.0;4361.0;3913.0;3471.0;4299.0;3352.0;4375.0;3923.0;3775.0;3584.0;3753.0;3452.0;3752.0;3386.0;4093.0;3561.0;3853.0;4094.0;3949.0
8509.0;4416.0;4025.0;3521.0;4362.0;3423.0;4531.0;3957.0;3913.0;3626.0;3819.0;3531.0;3858.0;3441.0;4147.0;3585.0;3949.0;4173.0;3975.0
8616.0;4441.0;4099.0;3558.0;4487.0;3663.0;4646.0;4034.0;3957.0;3704.0;3915.0;3625.0;3880.0;3467.0;4199.0;3609.0;3976.0;4256.0;4019.0
